year,名目産出額,実質産出額,名目付加価値額,実質付加価値額,名目中間投入額,実質中間投入額,名目雇用者報酬,総労働時間,名目投資額合計,名目建物投資額,名目構築物投資額,名目輸送用機械投資額,名目情報通信機械投資額,名目その他機械投資額,名目研究開発投資額,名目ソフトウェア投資額,実質投資額合計,実質建物投資額,実質構築物投資額,実質輸送用機械投資額,実質情報通信機械投資額,実質その他機械投資額,実質研究開発投資額,実質ソフトウェア投資額,実質資本ストック額合計,実質建物資本ストック額,実質構築物資本ストック額,実質輸送用機械資本ストック額,実質情報通信機械資本ストック額,実質その他機械資本ストック額,実質研究開発資本ストック額,実質ソフトウェア資本ストック額,資本サービス額合計,建物資本サービス額,構築物資本サービス額,輸送用機械資本サービス額,情報通信機械資本サービス額,その他機械資本サービス額,研究開発資本サービス額,ソフトウェア資本サービス額
1980,566922,483752.4542,268022.353,214051.8685,298899.647,269700.5857,117251.7306,90937.87311,37244.37398,2957.396567,6590.527766,5006.477679,7919.597907,720.7750125,12250.46436,1799.134692,35990.01633,3722.605925,8196.059681,4463.308173,531.4015911,691.9287123,16047.26991,2337.442341,284818.3231,35926.1418,140853.6117,10192.83234,1701.954405,3679.162312,84624.3641,7840.256469,52726.72934,4042.499873,8855.654578,3503.228632,10443.07874,925.8019485,23798.35101,1158.114559
1981,720184,608620.1934,340722.3988,272118.1165,379461.6012,336502.0769,151803.7985,109306.2017,61229.96034,5021.837827,11648.44552,7837.688844,14576.70889,1298.219685,17026.64141,3820.418166,55318.8675,6202.497517,14030.19941,6869.156768,1106.30987,1207.163144,21195.78953,4707.751263,315028.9089,39254.54797,151644.1781,15013.22981,2391.285445,4290.301161,92364.87974,10070.48669,61178.94057,4239.532217,9201.935944,5172.704914,13626.85261,1110.208557,26324.74462,1502.961709
1982,719505,605311.2541,349160.4415,273434.2372,370344.5585,331877.0169,149232.5043,102381.5239,56990.56266,4125.969302,10178.53506,7495.630337,11035.36167,943.3150935,18631.68588,4580.065316,53128.28518,4988.03793,11948.8101,6566.60546,927.6324249,867.7813684,22291.72761,5537.690284,339362.1715,41102.22206,160105.1721,18562.17608,2733.052936,4463.053742,99970.59147,12425.90318,70180.42464,4650.538214,11161.68248,6406.698242,13078.42272,1146.341541,31773.4129,1963.328546
1983,764293,644138.8077,381436.2129,293965.3771,382856.7871,350173.4306,164547.9621,110434.5898,80924.44175,3191.055207,19723.80183,9868.496764,17832.63805,1854.798656,21916.52243,6537.128816,72290.11666,3864.192937,23096.38867,8668.101948,1649.172232,1686.099616,25713.59961,7612.561646,379736.1719,41678.23724,179519.1418,23499.28063,3712.627198,5426.138652,109788.867,16111.87942,80431.98895,4816.365149,12702.79696,7963.980999,15827.63426,1457.655258,34987.67724,2675.879084
1984,852223,702125.0409,416380.5397,306059.5021,435842.4603,396065.5388,179334.1936,115891.8993,72707.04659,2348.418405,13379.36751,9246.505529,15790.99027,1660.21836,24536.97737,5744.569149,63875.51984,2792.279362,15421.50415,8125.192324,1572.911178,1505.404459,27950.25388,6507.97448,407088.7253,41136.25762,190811.7057,26901.11755,4375.944713,6052.508649,120282.6911,17528.5,86510.1406,4833.432036,13511.50005,9180.885509,17940.10915,1603.308463,36378.30266,3062.602732
1985,968187,828747.0883,461844.0775,394013.7963,506342.9225,434733.292,209838.6461,132441.3295,95410.94726,5001.391354,16653.08508,11959.20115,21755.5329,2612.92629,29167.74188,8261.068614,82173.67948,5904.723638,19017.86542,10515.03558,2243.418635,2351.539896,32442.9986,9698.097706,449459.1435,43750.08065,205440.9019,32009.0285,5547.256893,7423.542144,133600.7418,21687.59171,89651.82406,4550.02106,11422.46412,10759.71717,23174.89025,1928.067175,34076.45824,3740.206037
1986,979817,871891.2687,471675.8488,380569.7084,508141.1512,491321.5603,218232.7791,129125.9177,87212.28073,4182.263554,12235.55236,12348.03682,17690.00172,2265.636307,30841.0897,7649.700277,76931.56026,5002.051035,14069.90253,10894.71451,1956.48934,2073.189853,34242.6019,8692.611103,481074.2532,45252.12523,214785.6636,36469.92828,6144.668294,8294.11817,146600.8257,23526.92383,86837.22021,3469.865927,6146.739463,12211.29317,22630.34909,2013.222764,36525.29586,3840.453937
1987,1024175,932107.1259,498436.499,402092.2026,525738.501,530014.9233,228378.8269,134520.1813,104874.5792,6513.758385,16541.87153,13882.10962,20649.1836,3741.519692,33796.361,9749.775387,93152.65266,7787.992155,19019.04644,12334.53536,2544.195786,3485.804455,37430.51939,10550.55908,524743.0799,49419.94737,228864.6398,41474.00805,7183.420348,10436.27548,160721.8138,26642.97498,84321.13909,2713.46873,1315.502578,12776.51204,21504.26868,2285.472623,39646.53197,4079.382465
1988,1109312,1012766.443,555454.8563,451880.3267,553857.1437,560886.1164,237418.5385,133237.1086,133877.3229,12048.77871,34383.32455,13432.84771,22595.26548,3051.18684,38790.13421,9575.785383,122859.7666,14086.29467,38831.19965,11976.52606,3142.138306,2836.566083,42138.74589,9848.295979,592624.5253,59552.64624,262431.9527,45114.2585,8565.620669,11582.16494,177305.7913,28072.09086,97420.6008,3397.726163,1784.727238,13754.1242,21358.51856,2488.023818,50209.68387,4427.796949
1989,1219514,1098471.389,604511.8112,498497.064,615002.1888,599974.325,251820.8735,135472.9565,119229.7305,11138.09477,21821.68878,12442.64023,18503.98914,2521.252043,44666.74991,8135.315633,109042.3994,12624.92761,24019.31595,11496.95574,2697.206305,2347.729535,47914.97797,7941.286267,640761.5228,67413.36215,280415.3338,47543.24827,9164.24991,12053.58375,197029.1485,27142.59642,121506.3832,5144.400373,7297.508534,13245.23056,21918.10279,2633.90451,66659.82616,4607.410308
